日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2017年02月,嘉義縣,59463220,0.3072,46325851,0.2394,18025646,0.0931,69732852,0.3603,193547569,0.013
2017年02月,屏東縣,105877744,0.3236,83142407,0.2541,58494125,0.1788,79693704,0.2436,327207980,0.0221
2017年02月,台東縣,29999790,0.4394,26724534,0.3914,2151193,0.0315,9398033,0.1377,68273550,0.0046
2017年02月,花蓮縣,49078053,0.2739,53400782,0.2981,2176556,0.0121,74501076,0.4158,179156467,0.0121
2017年02月,基隆市,53980682,0.506,37733461,0.3537,9773,0.0001,14960478,0.1402,106684394,0.0072
2017年02月,新竹市,61303829,0.0862,85099004,0.1197,591778,0.0008,564132692,0.7933,711127303,0.0479
2017年02月,嘉義市,36099447,0.4402,39377871,0.4802,489307,0.006,6033899,0.0736,82000524,0.0055
2017年02月,澎湖縣,11474407,0.4299,11743150,0.44,358410,0.0134,3112336,0.1166,26688303,0.0018
2017年02月,金門縣,7787201,0.4173,9006193,0.4826,229321,0.0123,1640372,0.0879,18663087,0.0013
2017年02月,連江縣,2469964,0.419,2995934,0.5082,18929,0.0032,410521,0.0696,5895348,0.0004
2017年02月,合計,3170786732,0.2137,3330952291,0.2245,216053693,0.0146,8119511776,0.5472,14837304492,1
2017年01月,新北市,548509760,0.3746,523114444,0.3573,1617045,0.0011,391009225,0.267,1464250474,0.0926
2017年01月,台北市,364584957,0.3208,736960924,0.6484,1442179,0.0013,33619596,0.0296,1136607656,0.0719
2017年01月,桃園市,279153727,0.1359,342103105,0.1666,2302943,0.0011,1430102068,0.6964,2053661843,0.1299
2017年01月,台中市,393084401,0.185,511631311,0.2408,11950853,0.0056,1207661939,0.5685,2124328504,0.1343
